#WINDOWS LOG
EventID: 4625 | Time: 2024-01-10 03:45:22 | User: Administrator | IP: 192.168.1.105 | Status: Failure
EventID: 4625 | Time: 2024-01-10 07:00:01 | User: Administrator | IP: 91.121.93.96 | Status: Failure
EventID: 4625 | Time: 2024-01-10 07:00:02 | User: Administrator | IP: 91.121.93.96 | Status: Failure
EventID: 4625 | Time: 2024-01-10 07:00:03 | User: Administrator | IP: 91.121.93.96 | Status: Failure
EventID: 4625 | Time: 2024-01-10 07:00:04 | User: Administrator | IP: 91.121.93.96 | Status: Failure
EventID: 4634 | Time: 2024-01-10 07:01:00 | User: bob | IP: 10.0.0.8 | Status: Logout
EventID: 4624 | Time: 2024-01-10 07:30:00 | User: carol | IP: 10.0.0.9 | Status: Success
EventID: 4625 | Time: 2024-01-10 08:00:00 | User: admin | IP: 192.168.1.200 | Status: Failure
EventID: 4625 | Time: 2024-01-10 08:00:01 | User: admin | IP: 192.168.1.200 | Status: Failure
EventID: 4625 | Time: 2024-01-10 08:00:02 | User: admin | IP: 192.168.1.200 | Status: Failure
EventID: 4634 | Time: 2024-01-10 08:01:00 | User: carol | IP: 10.0.0.9 | Status: Logout
EventID: 4624 | Time: 2024-01-10 08:30:00 | User: dave | IP: 10.0.0.3 | Status: Success
EventID: 4625 | Time: 2024-01-10 09:00:00 | User: Administrator | IP: 193.32.160.143 | Status: Failure
EventID: 4625 | Time: 2024-01-10 09:00:01 | User: Administrator | IP: 193.32.160.143 | Status: Failure
EventID: 4625 | Time: 2024-01-10 09:00:02 | User: Administrator | IP: 193.32.160.143 | Status: Failure
EventID: 4625 | Time: 2024-01-10 09:00:03 | User: Administrator | IP: 193.32.160.143 | Status: Failure
EventID: 4634 | Time: 2024-01-10 09:01:00 | User: dave | IP: 10.0.0.3 | Status: Logout
EventID: 4624 | Time: 2024-01-10 09:30:00 | User: eve | IP: 10.0.0.11 | Status: Success
EventID: 4625 | Time: 2024-01-10 10:00:00 | User: admin | IP: 5.188.86.172 | Status: Failure
EventID: 4625 | Time: 2024-01-10 10:00:01 | User: admin | IP: 5.188.86.172 | Status: Failure
EventID: 4625 | Time: 2024-01-10 10:00:02 | User: admin | IP: 5.188.86.172 | Status: Failure
EventID: 4625 | Time: 2024-01-10 10:00:03 | User: admin | IP: 5.188.86.172 | Status: Failure
EventID: 4625 | Time: 2024-01-10 10:00:04 | User: admin | IP: 5.188.86.172 | Status: Failure
EventID: 4634 | Time: 2024-01-10 10:01:00 | User: eve | IP: 10.0.0.11 | Status: Logout
EventID: 4624 | Time: 2024-01-10 10:30:00 | User: frank | IP: 10.0.0.4 | Status: Success
EventID: 4625 | Time: 2024-01-10 11:00:00 | User: Administrator | IP: 46.165.230.5 | Status: Failure
EventID: 4625 | Time: 2024-01-10 11:00:01 | User: Administrator | IP: 46.165.230.5 | Status: Failure
EventID: 4625 | Time: 2024-01-10 11:00:02 | User: Administrator | IP: 46.165.230.5 | Status: Failure
EventID: 4634 | Time: 2024-01-10 11:01:00 | User: frank | IP: 10.0.0.4 | Status: Logout
EventID: 4624 | Time: 2024-01-10 11:30:00 | User: grace | IP: 10.0.0.6 | Status: Success
EventID: 4625 | Time: 2024-01-10 12:00:00 | User: admin | IP: 222.186.15.112 | Status: Failure
EventID: 4625 | Time: 2024-01-10 12:00:01 | User: admin | IP: 222.186.15.112 | Status: Failure
EventID: 4625 | Time: 2024-01-10 12:00:02 | User: admin | IP: 222.186.15.112 | Status: Failure
EventID: 4625 | Time: 2024-01-10 12:00:03 | User: admin | IP: 222.186.15.112 | Status: Failure
EventID: 4634 | Time: 2024-01-10 12:01:00 | User: grace | IP: 10.0.0.6 | Status: Logout
EventID: 4624 | Time: 2024-01-10 12:30:00 | User: henry | IP: 10.0.0.7 | Status: Success
EventID: 4625 | Time: 2024-01-10 13:00:00 | User: Administrator | IP: 42.7.36.124 | Status: Failure
EventID: 4625 | Time: 2024-01-10 13:00:01 | User: Administrator | IP: 42.7.36.124 | Status: Failure
EventID: 4625 | Time: 2024-01-10 13:00:02 | User: Administrator | IP: 42.7.36.124 | Status: Failure
EventID: 4634 | Time: 2024-01-10 13:01:00 | User: henry | IP: 10.0.0.7 | Status: Logout
EventID: 4624 | Time: 2024-01-10 13:30:00 | User: iris | IP: 10.0.0.10 | Status: Success
EventID: 4625 | Time: 2024-01-10 14:00:00 | User: admin | IP: 195.54.160.149 | Status: Failure
EventID: 4625 | Time: 2024-01-10 14:00:01 | User: admin | IP: 195.54.160.149 | Status: Failure
EventID: 4625 | Time: 2024-01-10 14:00:02 | User: admin | IP: 195.54.160.149 | Status: Failure
EventID: 4625 | Time: 2024-01-10 14:00:03 | User: admin | IP: 195.54.160.149 | Status: Failure
EventID: 4634 | Time: 2024-01-10 14:01:00 | User: iris | IP: 10.0.0.10 | Status: Logout
EventID: 4624 | Time: 2024-01-10 14:30:00 | User: jack | IP: 10.0.0.12 | Status: Success
EventID: 4625 | Time: 2024-01-10 15:00:00 | User: Administrator | IP: 109.206.167.51 | Status: Failure
EventID: 4625 | Time: 2024-01-10 15:00:01 | User: Administrator | IP: 109.206.167.51 | Status: Failure
EventID: 4625 | Time: 2024-01-10 15:00:02 | User: Administrator | IP: 109.206.167.51 | Status: Failure
EventID: 4634 | Time: 2024-01-10 15:01:00 | User: jack | IP: 10.0.0.12 | Status: Logout
EventID: 4624 | Time: 2024-01-10 15:30:00 | User: kate | IP: 10.0.0.13 | Status: Success
EventID: 4625 | Time: 2024-01-10 16:00:00 | User: admin | IP: 61.177.172.12 | Status: Failure
EventID: 4625 | Time: 2024-01-10 16:00:01 | User: admin | IP: 61.177.172.12 | Status: Failure
EventID: 4625 | Time: 2024-01-10 16:00:02 | User: admin | IP: 61.177.172.12 | Status: Failure
EventID: 4625 | Time: 2024-01-10 16:00:03 | User: admin | IP: 61.177.172.12 | Status: Failure
EventID: 4634 | Time: 2024-01-10 16:01:00 | User: kate | IP: 10.0.0.13 | Status: Logout
EventID: 4624 | Time: 2024-01-10 16:30:00 | User: leo | IP: 10.0.0.14 | Status: Success
EventID: 4625 | Time: 2024-01-10 17:00:00 | User: Administrator | IP: 192.168.2.100 | Status: Failure
EventID: 4625 | Time: 2024-01-10 17:00:01 | User: Administrator | IP: 192.168.2.100 | Status: Failure
EventID: 4625 | Time: 2024-01-10 17:00:02 | User: Administrator | IP: 192.168.2.100 | Status: Failure
EventID: 4634 | Time: 2024-01-10 17:01:00 | User: leo | IP: 10.0.0.14 | Status: Logout
EventID: 4624 | Time: 2024-01-10 17:30:00 | User: mary | IP: 10.0.0.15 | Status: Success
